file,column,ordinal,onset,offset,hand,look
datavyur_export,childhands,1,7911,49504,both,1
datavyur_export,childhands,2,138848,138911,right,0
datavyur_export,childhands,3,141557,147261,both,0
datavyur_export,childhands,4,197290,219590,right,1
datavyur_export,childhands,5,222568,224041,both,1
datavyur_export,childhands,6,224054,225641,right,1
datavyur_export,childhands,7,232847,243065,both,0
datavyur_export,childhands,8,257171,293915,left,1
datavyur_export,childhands,9,295958,305513,,0
datavyur_export,childhands,10,306940,316424,both,0
datavyur_export,childhands,11,326804,332684,left,1
datavyur_export,childhands,12,340150,356142,,
datavyur_export,childhands,13,375578,378890,right,
datavyur_export,childhands,14,423997,427477,right,1
datavyur_export,childhands,15,427953,496929,both,1
datavyur_export,childhands,16,521787,528211,,
datavyur_export,childhands,17,545255,548835,,0
datavyur_export,childhands,18,604867,647738,right,0
datavyur_export,childhands,19,704078,785304,right,
datavyur_export,childhands,20,830067,833982,both,
datavyur_export,childhands,21,841956,873928,,0
datavyur_export,childhands,22,902086,940180,left,0
datavyur_export,childhands,23,945374,963617,,
datavyur_export,childhands,24,964661,970801,right,0
datavyur_export,childhands,25,975371,1004725,left,0
datavyur_export,childhands,26,1023628,1028058,left,
datavyur_export,childhands,27,1030336,1032010,right,
datavyur_export,childhands,28,1033391,1034118,right,0
datavyur_export,childhands,29,1035044,1035241,left,
datavyur_export,childhands,30,1035392,1037606,left,0
datavyur_export,childhands,31,1045157,1045742,left,
datavyur_export,childhands,32,1071706,1081603,right,
datavyur_export,childhands,33,1087138,1096298,left,0
datavyur_export,childhands,34,1115288,1120261,both,1
datavyur_export,childhands,35,1132663,1133064,both,0
datavyur_export,childhands,36,1135351,1182571,right,0
datavyur_export,childhands,37,1201394,1207095,,1
datavyur_export,childhands,38,1241150,1243164,left,1
datavyur_export,childhands,39,1248786,1372065,both,
datavyur_export,childhands,40,1428786,1444635,right,0
datavyur_export,childhands,41,1480859,1485877,,1
datavyur_export,childhands,42,1499125,1512532,left,0
datavyur_export,childhands,43,1522509,1522915,right,
datavyur_export,childhands,44,1523665,1539889,right,1
datavyur_export,childhands,45,1547326,1552210,,1
datavyur_export,childhands,46,1646658,1657563,,0
datavyur_export,childhands,47,1690000,1721840,right,
datavyur_export,childhands,48,1779925,1812961,right,0
datavyur_export,childhands,49,1825001,1826117,left,0
datavyur_export,childhands,50,1831727,1844144,both,
datavyur_export,childhands,51,1844515,1852905,both,
datavyur_export,childhands,52,2072741,2074474,right,
datavyur_export,childhands,53,2077375,2098742,both,
datavyur_export,childhands,54,2129512,2190834,,0
datavyur_export,childhands,55,2196852,2213495,right,1
datavyur_export,childhands,56,2225793,2226508,right,0
datavyur_export,childhands,57,2228337,2243939,right,
datavyur_export,childhands,58,2261033,2282300,left,
datavyur_export,childhands,59,2300589,2308754,left,
datavyur_export,childhands,60,2308948,2315123,right,1
datavyur_export,childhands,61,2315261,2317935,,
datavyur_export,childhands,62,2318467,2369786,,0
datavyur_export,childhands,63,2394315,2457443,left,1
datavyur_export,childhands,64,2465808,2475583,left,
datavyur_export,childhands,65,2519565,2520131,both,1
datavyur_export,childhands,66,2525854,2541242,right,1
datavyur_export,childhands,67,2546976,2603178,,
datavyur_export,childhands,68,2641990,2644626,left,
datavyur_export,childhands,69,2648735,2745987,right,1
datavyur_export,childhands,70,2778301,2794558,right,1
datavyur_export,childhands,71,2822158,2836182,left,0
datavyur_export,childhands,72,2842670,2863773,left,
datavyur_export,childhands,73,2875919,2876429,left,0
datavyur_export,childhands,74,2899229,2901578,both,
datavyur_export,childhands,75,2902272,2932838,right,0
datavyur_export,childhands,76,2942570,2942847,,0
datavyur_export,childhands,77,2943824,2964630,both,0
datavyur_export,childhands,78,2967927,2970406,both,
datavyur_export,childhands,79,2973077,2983528,right,1
datavyur_export,childhands,80,3019458,3068374,left,
datavyur_export,childhands,81,3078046,3084713,both,1
datavyur_export,childhands,82,3086821,3094026,left,1
datavyur_export,childhands,83,3094990,3103863,both,
datavyur_export,childhands,84,3123187,3143266,left,
datavyur_export,childhands,85,3152658,3180941,both,1
datavyur_export,childhands,86,3221167,3246065,,
datavyur_export,childhands,87,3262274,3267271,,1
datavyur_export,childhands,88,3272449,3277443,right,1
datavyur_export,childhands,89,3279434,3284948,both,1
datavyur_export,childhands,90,3286153,3292312,right,1
datavyur_export,childhands,91,3293576,3297346,left,0
datavyur_export,childhands,92,3304699,3313202,left,0
datavyur_export,childhands,93,3318187,3412612,right,
datavyur_export,childhands,94,3430003,3438921,both,0
datavyur_export,childhands,95,3441870,3441928,both,0
datavyur_export,childhands,96,3442243,3482579,right,0
datavyur_export,childhands,97,3524885,3525388,left,
datavyur_export,childhands,98,3541888,3553180,,
datavyur_export,childhands,99,3554955,3561980,right,1
datavyur_export,childhands,100,3594030,3598225,left,0
